policy,episode,episode_reward,jobs_completed,avg_tardiness_hours,total_downtime_hours,total_failures,utilization,throughput_jobs_per_hour
RL_PPO,1,-0.729918,133,0.0149,5.518,5,0.6366,5.5414
RL_PPO,2,-0.848898,132,0.0085,2.9774,4,0.6274,5.4998
RL_PPO,3,-5.676381,151,0.0705,5.1911,5,0.7026,6.2914
RL_PPO,4,-1.76551,126,0.0074,7.248,4,0.6042,5.2498
RL_PPO,5,-2.355834,145,0.0485,3.3168,4,0.6884,6.0414
RANDOM,1,0.0,120,0.04,5.6278,6,0.5537,5.0
RANDOM,2,0.0,138,0.2589,10.3995,3,0.6193,5.75
RANDOM,3,0.0,139,0.0983,4.3028,5,0.6644,5.7917
RANDOM,4,0.0,130,0.2828,9.8199,5,0.6225,5.4167
RANDOM,5,0.0,129,0.0941,7.9871,4,0.6048,5.375
SPT,1,0.0,133,0.0141,5.518,5,0.639,5.5417
SPT,2,0.0,140,0.0181,1.9114,3,0.6793,5.8333
SPT,3,0.0,152,0.0649,5.1911,5,0.7118,6.3333
SPT,4,0.0,126,0.0126,7.248,4,0.605,5.25
SPT,5,0.0,144,0.0426,3.3168,4,0.6846,6.0
QUEUE_BASED,1,0.0,133,0.0149,5.518,5,0.6366,5.5417
QUEUE_BASED,2,0.0,132,0.0085,2.9774,4,0.6274,5.5
QUEUE_BASED,3,0.0,151,0.0705,5.1911,5,0.7026,6.2917
QUEUE_BASED,4,0.0,126,0.0074,7.248,4,0.6042,5.25
QUEUE_BASED,5,0.0,145,0.0485,3.3168,4,0.6884,6.0417
HEALTH_AWARE,1,0.0,146,0.0772,7.9467,5,0.7078,6.0833
HEALTH_AWARE,2,0.0,132,0.0492,2.8102,4,0.6382,5.5
HEALTH_AWARE,3,0.0,151,0.1143,5.1911,5,0.7059,6.2917
HEALTH_AWARE,4,0.0,120,0.0444,6.2344,5,0.5795,5.0
HEALTH_AWARE,5,0.0,142,0.1137,3.9168,4,0.6685,5.9167
