event_type,version,timestamp,machine_id,sensor_id,temperature,vibration,pressure,rotation_speed,load,ambient_temperature,operating_mode,rul_hours,scenario
sensor_reading,1.0,2025-01-01 00:00:00,M001,MAIN_SENSOR,624.862,0.0342,24.102,1641.49,0.6,30.0,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 00:05:00,M001,MAIN_SENSOR,625.678,0.0331,23.525,1638.58,0.601,30.01,high-load,9999.0,normal
sensor_reading,1.0,2025-01-01 00:10:00,M001,MAIN_SENSOR,629.657,0.0343,24.007,1635.29,0.601,30.01,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 00:15:00,M001,MAIN_SENSOR,632.964,0.0323,24.058,1617.44,0.602,30.02,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 00:20:00,M001,MAIN_SENSOR,625.596,0.0333,24.399,1627.55,0.603,30.02,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 00:25:00,M001,MAIN_SENSOR,627.544,0.0321,23.829,1634.33,0.603,30.03,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 00:30:00,M001,MAIN_SENSOR,623.81,0.0363,23.786,1639.61,0.604,30.03,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 00:35:00,M001,MAIN_SENSOR,624.542,0.0348,24.257,1635.71,0.604,30.04,high-load,9999.0,normal
sensor_reading,1.0,2025-01-01 00:40:00,M001,MAIN_SENSOR,625.419,0.0337,23.611,1628.22,0.605,30.04,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 00:45:00,M001,MAIN_SENSOR,631.541,0.0351,24.034,1619.72,0.606,30.05,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 00:50:00,M001,MAIN_SENSOR,630.439,0.0332,23.219,1640.96,0.606,30.05,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 00:55:00,M001,MAIN_SENSOR,628.48,0.0362,23.651,1593.61,0.607,30.06,high-load,9999.0,normal
sensor_reading,1.0,2025-01-01 01:00:00,M001,MAIN_SENSOR,629.44,0.0339,23.446,1620.14,0.608,30.06,high-load,9999.0,normal
sensor_reading,1.0,2025-01-01 01:05:00,M001,MAIN_SENSOR,636.919,0.0324,24.297,1624.23,0.608,30.07,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 01:10:00,M001,MAIN_SENSOR,622.433,0.0328,23.951,1627.4,0.609,30.07,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 01:15:00,M001,MAIN_SENSOR,628.41,0.0339,23.995,1617.19,0.609,30.08,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 01:20:00,M001,MAIN_SENSOR,630.263,0.0284,23.333,1641.38,0.61,30.08,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 01:25:00,M001,MAIN_SENSOR,630.376,0.0331,23.565,1624.18,0.611,30.09,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 01:30:00,M001,MAIN_SENSOR,628.116,0.0293,23.798,1640.66,0.611,30.09,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 01:35:00,M001,MAIN_SENSOR,633.237,0.0322,24.324,1610.02,0.612,30.1,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 01:40:00,M001,MAIN_SENSOR,630.984,0.0313,24.17,1630.17,0.613,30.1,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 01:45:00,M001,MAIN_SENSOR,633.017,0.0311,24.286,1629.94,0.613,30.11,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 01:50:00,M001,MAIN_SENSOR,628.631,0.0329,23.773,1633.29,0.614,30.12,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 01:55:00,M001,MAIN_SENSOR,628.968,0.034,24.102,1643.19,0.614,30.12,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 02:00:00,M001,MAIN_SENSOR,631.977,0.0308,24.379,1619.53,0.615,30.13,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 02:05:00,M001,MAIN_SENSOR,631.02,0.0349,23.41,1635.04,0.616,30.13,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 02:10:00,M001,MAIN_SENSOR,627.901,0.0315,24.554,1626.24,0.616,30.14,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 02:15:00,M001,MAIN_SENSOR,626.938,0.0336,24.325,1632.54,0.617,30.14,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 02:20:00,M001,MAIN_SENSOR,632.906,0.0348,23.326,1628.04,0.618,30.15,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 02:25:00,M001,MAIN_SENSOR,627.772,0.0347,23.172,1665.14,0.618,30.15,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 02:30:00,M001,MAIN_SENSOR,631.1,0.0338,24.508,1662.83,0.619,30.16,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 02:35:00,M001,MAIN_SENSOR,632.17,0.0359,24.143,1633.17,0.619,30.16,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 02:40:00,M001,MAIN_SENSOR,628.18,0.0314,23.86,1618.82,0.62,30.17,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 02:45:00,M001,MAIN_SENSOR,629.43,0.0293,24.17,1634.74,0.621,30.17,high-load,9999.0,normal
sensor_reading,1.0,2025-01-01 02:50:00,M001,MAIN_SENSOR,630.149,0.0322,25.184,1651.66,0.621,30.18,high-load,9999.0,normal
sensor_reading,1.0,2025-01-01 02:55:00,M001,MAIN_SENSOR,626.024,0.0341,23.897,1623.32,0.622,30.18,high-load,9999.0,normal
sensor_reading,1.0,2025-01-01 03:00:00,M001,MAIN_SENSOR,625.788,0.0346,23.875,1647.26,0.623,30.19,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 03:05:00,M001,MAIN_SENSOR,632.84,0.037,23.818,1641.51,0.623,30.19,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 03:10:00,M001,MAIN_SENSOR,631.806,0.0324,23.849,1655.28,0.624,30.2,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 03:15:00,M001,MAIN_SENSOR,630.641,0.0352,23.835,1621.49,0.624,30.2,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 03:20:00,M001,MAIN_SENSOR,628.3,0.0333,23.753,1636.16,0.625,30.21,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 03:25:00,M001,MAIN_SENSOR,624.993,0.0308,24.363,1643.68,0.626,30.21,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 03:30:00,M001,MAIN_SENSOR,628.933,0.0311,23.772,1632.11,0.626,30.22,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 03:35:00,M001,MAIN_SENSOR,632.092,0.036,23.961,1622.9,0.627,30.23,high-load,9999.0,normal
sensor_reading,1.0,2025-01-01 03:40:00,M001,MAIN_SENSOR,631.012,0.0316,23.957,1652.81,0.628,30.23,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 03:45:00,M001,MAIN_SENSOR,632.74,0.0341,23.696,1639.6,0.628,30.24,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 03:50:00,M001,MAIN_SENSOR,633.497,0.0328,24.617,1652.73,0.629,30.24,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 03:55:00,M001,MAIN_SENSOR,635.35,0.0345,24.353,1654.34,0.629,30.25,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 04:00:00,M001,MAIN_SENSOR,631.751,0.0325,23.994,1640.39,0.63,30.25,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 04:05:00,M001,MAIN_SENSOR,626.587,0.0334,24.537,1611.39,0.631,30.26,idle,9999.0,normal
sensor_reading,1.0,2025-01-01 04:10:00,M001,MAIN_SENSOR,635.113,0.0366,23.996,1644.36,0.631,30.26,high-load,9999.0,normal
sensor_reading,1.0,2025-01-01 04:15:00,M001,MAIN_SENSOR,630.569,0.0369,24.504,1621.2,0.632,30.27,normal,9999.0,normal
sensor_reading,1.0,2025-01-01 04:20:00,M001,MAIN_SENSOR,632.371,0.0333,24.192,1629.42,0.633,30.27,high-load,9999.0,normal
