event_type,version,timestamp,machine_id,sensor_id,temperature,vibration,pressure,rotation_speed,load,ambient_temperature,operating_mode,rul_hours,scenario
sensor_reading,1.0,2025-01-01 00:00:00,M001,MAIN_SENSOR,630.876,0.0358,23.318,1641.74,0.6,30.0,normal,,normal
sensor_reading,1.0,2025-01-01 00:05:00,M001,MAIN_SENSOR,625.606,0.0352,23.978,1630.46,0.6,30.0,high-load,,normal
sensor_reading,1.0,2025-01-01 00:10:00,M001,MAIN_SENSOR,627.52,0.0361,23.571,1637.53,0.601,30.01,normal,,normal
sensor_reading,1.0,2025-01-01 00:15:00,M001,MAIN_SENSOR,631.417,0.0348,24.821,1624.01,0.601,30.01,normal,,normal
sensor_reading,1.0,2025-01-01 00:20:00,M001,MAIN_SENSOR,631.023,0.0328,24.441,1630.38,0.602,30.02,idle,,normal
sensor_reading,1.0,2025-01-01 00:25:00,M001,MAIN_SENSOR,627.025,0.0363,23.84,1613.64,0.602,30.02,idle,,normal
sensor_reading,1.0,2025-01-01 00:30:00,M001,MAIN_SENSOR,626.676,0.0346,24.501,1632.04,0.603,30.02,idle,,normal
sensor_reading,1.0,2025-01-01 00:35:00,M001,MAIN_SENSOR,632.219,0.0297,23.861,1627.36,0.603,30.03,high-load,,normal
sensor_reading,1.0,2025-01-01 00:40:00,M001,MAIN_SENSOR,627.958,0.0333,24.261,1625.6,0.604,30.03,normal,,normal
sensor_reading,1.0,2025-01-01 00:45:00,M001,MAIN_SENSOR,628.756,0.033,23.697,1629.7,0.604,30.04,normal,,normal
sensor_reading,1.0,2025-01-01 00:50:00,M001,MAIN_SENSOR,627.946,0.0327,24.035,1632.09,0.605,30.04,idle,,normal
sensor_reading,1.0,2025-01-01 00:55:00,M001,MAIN_SENSOR,627.118,0.0363,23.617,1622.64,0.605,30.04,high-load,,normal
sensor_reading,1.0,2025-01-01 01:00:00,M001,MAIN_SENSOR,636.792,0.0305,23.554,1640.23,0.606,30.05,high-load,,normal
sensor_reading,1.0,2025-01-01 01:05:00,M001,MAIN_SENSOR,622.259,0.0326,24.782,1612.99,0.606,30.05,normal,,normal
sensor_reading,1.0,2025-01-01 01:10:00,M001,MAIN_SENSOR,622.582,0.0294,24.347,1645.15,0.607,30.05,idle,,normal
sensor_reading,1.0,2025-01-01 01:15:00,M001,MAIN_SENSOR,627.028,0.0349,24.522,1653.22,0.607,30.06,idle,,normal
sensor_reading,1.0,2025-01-01 01:20:00,M001,MAIN_SENSOR,627.864,0.0274,23.75,1626.76,0.608,30.06,normal,,normal
sensor_reading,1.0,2025-01-01 01:25:00,M001,MAIN_SENSOR,627.864,0.0327,24.432,1647.3,0.608,30.07,normal,,normal
